Category,Name,Style,ABV,Origin,Glass Price,Bottle Price
Sparkling,Opera Prima,Brut Sparkling,11,"Madrid, Spain",8,30
Sparkling,Porta Leone,Prosecco,11,"Vazzola, Italy (Split)",10,
Sparkling,Chandon,Garden Spritz,11.5,"Mendoza, Argentina (Split)",12,
Rosés,Bieler Père et Fils,Rosé,12.5,"Provence, France",12,44
Whites,Vino,Pinot Grigio,12.5,"Mattawa, WA",8,24
Whites,Mark Ryan The Vincent,Chardonnay,13.5,"Columbia Valley, WA",11,40
Whites,Tombacco,Pecorino Terre Di Chieti,13.5,"Trebaseleghe, Italy",12,42
Reds,Vino,Cabernet Sauvignon,14,"Mattawa, WA",8,24
Reds,Batasiolo Barbera d’Alba,Barbera,14.3,"Piedmont, Italy (DOC)",13,48
Reds,Mark Ryan The Vincent,Washington Blend,14.6,"Woodinville, WA",11,42
